date,product_name,quantity,weather,event
2025-02-01,Buntut,15,2,1
2025-02-01,Telur Puyuh,22,2,1
2025-02-01,Tahu,13,2,1
2025-02-01,Ampela,12,2,1
2025-02-01,Usus,12,2,1
2025-02-01,Ceker,37,2,1
2025-02-01,Leher,5,2,1
2025-02-01,Cikua,7,2,1
2025-02-01,Sosis Kecil,14,2,1
2025-02-01,Sosis Besar,26,2,1
2025-02-01,Bakso,41,2,1
2025-02-01,Rais Boll Ayam Suwir,3,2,1
2025-02-01,Rais Boll Cumi Asin,2,2,1
2025-02-01,Tahu Bacem,6,2,1
2025-02-01,Tempe Bacem,5,2,1
2025-02-01,Nasi Kucing Ayam Suwir,3,2,1
2025-02-01,Nasi Kucing Cumi Asin,3,2,1
2025-02-02,Buntut,12,2,0
2025-02-02,Telur Puyuh,25,2,0
2025-02-02,Tahu,11,2,0
2025-02-02,Ampela,12,2,0
2025-02-02,Usus,11,2,0
2025-02-02,Ceker,23,2,0
2025-02-02,Leher,6,2,0
2025-02-02,Cikua,7,2,0
2025-02-02,Sosis Kecil,13,2,0
2025-02-02,Sosis Besar,24,2,0
2025-02-02,Bakso,39,2,0
2025-02-02,Rais Boll Ayam Suwir,3,2,0
2025-02-02,Rais Boll Cumi Asin,2,2,0
2025-02-02,Tahu Bacem,5,2,0
2025-02-02,Tempe Bacem,5,2,0
2025-02-02,Nasi Kucing Ayam Suwir,2,2,0
2025-02-02,Nasi Kucing Cumi Asin,2,2,0
2025-02-03,Buntut,11,2,0
2025-02-03,Telur Puyuh,14,2,0
2025-02-03,Tahu,10,2,0
2025-02-03,Ampela,7,2,0
2025-02-03,Usus,7,2,0
2025-02-03,Ceker,24,2,0
2025-02-03,Leher,3,2,0
2025-02-03,Cikua,5,2,0
2025-02-03,Sosis Kecil,10,2,0
2025-02-03,Sosis Besar,14,2,0
2025-02-03,Bakso,26,2,0
2025-02-03,Rais Boll Ayam Suwir,2,2,0
2025-02-03,Rais Boll Cumi Asin,2,2,0
2025-02-03,Tahu Bacem,3,2,0
2025-02-03,Tempe Bacem,4,2,0
2025-02-03,Nasi Kucing Ayam Suwir,2,2,0
2025-02-03,Nasi Kucing Cumi Asin,1,2,0
2025-02-04,Buntut,9,2,0
2025-02-04,Telur Puyuh,12,2,0
2025-02-04,Tahu,9,2,0
2025-02-04,Ampela,5,2,0
2025-02-04,Usus,7,2,0
2025-02-04,Ceker,23,2,0
2025-02-04,Leher,3,2,0
2025-02-04,Cikua,5,2,0
2025-02-04,Sosis Kecil,11,2,0
2025-02-04,Sosis Besar,19,2,0
2025-02-04,Bakso,29,2,0
2025-02-04,Rais Boll Ayam Suwir,2,2,0
2025-02-04,Rais Boll Cumi Asin,2,2,0
2025-02-04,Tahu Bacem,3,2,0
2025-02-04,Tempe Bacem,3,2,0
2025-02-04,Nasi Kucing Ayam Suwir,2,2,0
2025-02-04,Nasi Kucing Cumi Asin,2,2,0
2025-02-05,Buntut,10,2,0
2025-02-05,Telur Puyuh,21,2,0
2025-02-05,Tahu,10,2,0
2025-02-05,Ampela,11,2,0
2025-02-05,Usus,9,2,0
2025-02-05,Ceker,23,2,0
2025-02-05,Leher,4,2,0
2025-02-05,Cikua,4,2,0
2025-02-05,Sosis Kecil,13,2,0
2025-02-05,Sosis Besar,20,2,0
